time(ms),angle_x(deg),angle_y(deg),angle_z(deg),acc_x(g),acc_y(g),acc_z(g),motor_pos
13360,-0.79,-3.79,-122.86,-0.0136,-0.0661,-0.9964,1200000
13424,-0.79,-3.79,-122.86,-0.0133,-0.0661,-0.9959,1199992
13488,-0.78,-3.8,-122.86,-0.0113,-0.0661,-0.9955,1199596
13552,-0.72,-3.8,-122.86,-0.0033,-0.0662,-0.9963,1198460
13616,-0.61,-3.8,-122.86,0.0029,-0.0663,-0.9962,1196555
13680,-0.46,-3.8,-122.86,0.0045,-0.0662,-0.9963,1193809
13744,-0.3,-3.8,-122.86,0.0057,-0.0662,-0.9968,1190276
13808,-0.14,-3.8,-122.86,0.0066,-0.0663,-0.9967,1185902
13872,0.03,-3.8,-122.86,0.0073,-0.0662,-0.9964,1180662
13936,0.19,-3.8,-122.86,0.0068,-0.0662,-0.9958,1174672
14000,0.31,-3.8,-122.86,0.0065,-0.0662,-0.996,1167855
14063,0.35,-3.8,-122.86,0.006,-0.0662,-0.9962,1160222
14127,0.36,-3.8,-122.86,0.0064,-0.0664,-0.9961,1151763
14191,0.38,-3.8,-122.86,0.0073,-0.0662,-0.9963,1142496
14255,0.39,-3.8,-122.86,0.0082,-0.0662,-0.9961,1132403
14319,0.4,-3.8,-122.86,0.0086,-0.0662,-0.9961,1121477
14383,0.42,-3.8,-122.86,0.0088,-0.0662,-0.9961,1109778
14447,0.43,-3.8,-122.86,0.0071,-0.0663,-0.9959,1097199
14511,0.43,-3.81,-122.86,0.0055,-0.0663,-0.9961,1083848
14575,0.43,-3.81,-122.86,0.0058,-0.0663,-0.9963,1069656
14639,0.42,-3.81,-122.86,0.0064,-0.0664,-0.9965,1054690
14703,0.41,-3.81,-122.86,0.0062,-0.0664,-0.9965,1038819
14767,0.39,-3.81,-122.86,0.0061,-0.0664,-0.9966,1022184
14830,0.37,-3.81,-122.86,0.0057,-0.0663,-0.9967,1004721
14894,0.35,-3.81,-122.86,0.0054,-0.0663,-0.9963,986552
14958,0.34,-3.81,-122.86,0.0056,-0.0664,-0.9962,967459
15022,0.34,-3.81,-122.87,0.007,-0.0664,-0.9963,947560
15086,0.34,-3.81,-122.87,0.0067,-0.0663,-0.9962,926776
15150,0.34,-3.81,-122.87,0.0068,-0.0665,-0.9962,905247
15214,0.34,-3.82,-122.87,0.0074,-0.0665,-0.9961,882961
15278,0.34,-3.82,-122.87,0.0069,-0.0665,-0.9963,859759
15342,0.38,-3.82,-122.87,0.0065,-0.0667,-0.9964,835738
15406,0.38,-3.82,-122.87,0.0055,-0.0667,-0.9964,810902
15470,0.38,-3.82,-122.87,0.0054,-0.0668,-0.9964,785490
15534,0.38,-3.83,-122.87,0.0032,-0.0668,-0.9965,760026
15598,0.38,-3.83,-122.87,-0.007,-0.0668,-0.9963,734344
15661,0.38,-3.83,-122.87,-0.0164,-0.0669,-0.9963,708760
15725,0.38,-3.83,-122.87,-0.019,-0.0668,-0.9965,683235
15789,0.38,-3.84,-122.87,-0.016,-0.0668,-0.9966,657730
15853,0.38,-3.84,-122.87,-0.0116,-0.067,-0.9963,632186
15917,0.38,-3.84,-122.86,-0.0105,-0.067,-0.9962,606640
15981,0.38,-3.84,-122.86,-0.0136,-0.067,-0.9964,581110
16045,0.38,-3.84,-122.86,-0.017,-0.0669,-0.9965,555416
16109,0.38,-3.84,-122.86,-0.017,-0.0669,-0.9965,529889
16173,-0.85,-3.84,-122.86,-0.0146,-0.067,-0.9964,504307
16237,-0.81,-3.84,-122.86,-0.0127,-0.0671,-0.9962,478747
16300,-0.8,-3.85,-122.86,-0.0119,-0.067,-0.9963,453169
16364,-0.8,-3.85,-122.86,-0.0132,-0.0671,-0.9965,427597
16428,-0.8,-3.85,-122.86,-0.0167,-0.067,-0.9965,402064
16492,-0.8,-3.85,-122.86,-0.0202,-0.067,-0.9965,376971
16556,-0.9,-3.85,-122.86,-0.0247,-0.067,-0.9965,352558
16620,-1,-3.85,-122.86,-0.0303,-0.0669,-0.9965,328896
16684,-1.16,-3.85,-122.86,-0.034,-0.067,-0.9965,306118
16748,-1.18,-3.85,-122.86,-0.0337,-0.067,-0.9965,284229
